Point,North,East,Elev,Description,Hz Prec,Vt Prec,Solution,PDOP,Sats,Start Date,Start Time,End Date,End Time,Duration
1,2266833.467,1574115.284,137.182,Topo Continu,0.009,0.016,NetworkFix,1.9,10,13/04/2017,08:00:00.0,13/04/2017,08:00:00.0,0.0
2,2266833.469,1574115.283,137.183,Topo Continu,0.009,0.017,NetworkFix,1.9,10,13/04/2017,08:00:01.0,13/04/2017,08:00:01.0,0.0
3,2266833.473,1574115.283,137.181,Topo Continu,0.010,0.019,NetworkFix,1.9,10,13/04/2017,08:00:01.0,13/04/2017,08:00:01.0,0.0
4,2266833.467,1574115.282,137.197,Topo Continu,0.007,0.012,NetworkFix,1.9,10,13/04/2017,08:00:04.0,13/04/2017,08:00:04.0,0.0
5,2266833.467,1574115.278,137.198,Topo Continu,0.008,0.014,NetworkFix,1.9,10,13/04/2017,08:00:05.0,13/04/2017,08:00:05.0,0.0
6,2266833.468,1574115.276,137.206,Topo Continu,0.009,0.016,NetworkFix,1.9,10,13/04/2017,08:00:06.0,13/04/2017,08:00:06.0,0.0
7,2266833.468,1574115.278,137.191,Topo Continu,0.009,0.017,NetworkFix,1.9,10,13/04/2017,08:00:07.0,13/04/2017,08:00:07.0,0.0
8,2266833.465,1574115.284,137.187,Topo Continu,0.016,0.032,NetworkFix,1.9,10,13/04/2017,08:00:08.0,13/04/2017,08:00:08.0,0.0
9,2266833.476,1574115.283,137.204,Topo Continu,0.016,0.031,NetworkFix,1.9,10,13/04/2017,08:00:09.0,13/04/2017,08:00:09.0,0.0
10,2266833.473,1574115.286,137.198,Topo Continu,0.022,0.044,NetworkFix,1.9,10,13/04/2017,08:00:10.0,13/04/2017,08:00:10.0,0.0
11,2266833.475,1574115.291,137.214,Topo Continu,0.026,0.051,NetworkFix,1.9,10,13/04/2017,08:00:11.0,13/04/2017,08:00:11.0,0.0
12,2266833.467,1574115.294,137.209,Topo Continu,0.029,0.060,NetworkFix,1.9,10,13/04/2017,08:00:12.0,13/04/2017,08:00:12.0,0.0
13,2266833.455,1574115.289,137.196,Topo Continu,0.023,0.045,NetworkFix,1.9,10,13/04/2017,08:00:14.0,13/04/2017,08:00:14.0,0.0
14,2266833.455,1574115.286,137.205,Topo Continu,0.009,0.018,NetworkFix,1.9,10,13/04/2017,08:00:15.0,13/04/2017,08:00:15.0,0.0
15,2266833.460,1574115.287,137.193,Topo Continu,0.008,0.014,NetworkFix,1.9,10,13/04/2017,08:00:16.0,13/04/2017,08:00:16.0,0.0
16,2266833.457,1574115.289,137.206,Topo Continu,0.009,0.017,NetworkFix,1.9,10,13/04/2017,08:00:16.0,13/04/2017,08:00:16.0,0.0
17,2266833.460,1574115.289,137.197,Topo Continu,0.008,0.014,NetworkFix,1.9,10,13/04/2017,08:00:18.0,13/04/2017,08:00:18.0,0.0
