Point coordinates for job testat

Point,North,East,Elev,Description,Hz Prec,Vt Prec,Solution,PDOP,Sats,Start Date,Start Time,End Date,End Time,Duration
VRS1,7734485.319,1413608.157,53.771,Installation de base,?,?,KeyedIn,?,?,?,?,?,?,?
VRS2,7734485.319,1413608.157,53.771,Installation de base,?,?,KeyedIn,?,?,?,?,?,?,?
1,7737090.356,1409565.751,48.893,Topo Continu,0.015,0.022,NetworkFix,1.1,16,2017-04-12,12:08:42.0,2017-04-12,12:08:42.0,0.0
2,7737090.359,1409565.744,48.886,Topo Continu,0.011,0.017,NetworkFix,1.1,16,2017-04-12,12:08:43.0,2017-04-12,12:08:43.0,0.0
3,7737090.384,1409565.776,48.888,Topo Continu,0.016,0.022,NetworkFix,1.1,16,2017-04-12,12:08:44.0,2017-04-12,12:08:44.0,0.0
4,7737090.432,1409565.876,48.876,Topo Continu,0.014,0.021,NetworkFix,1.1,16,2017-04-12,12:08:45.0,2017-04-12,12:08:45.0,0.0
5,7737090.455,1409565.990,48.874,Topo Continu,0.018,0.027,NetworkFix,1.1,16,2017-04-12,12:08:46.0,2017-04-12,12:08:46.0,0.0
6,7737090.463,1409566.204,48.873,Topo Continu,0.021,0.030,NetworkFix,1.1,15,2017-04-12,12:08:47.0,2017-04-12,12:08:47.0,0.0
7,7737090.452,1409566.403,48.884,Topo Continu,0.009,0.012,NetworkFix,1.1,15,2017-04-12,12:08:48.0,2017-04-12,12:08:48.0,0.0
8,7737090.447,1409566.620,48.870,Topo Continu,0.011,0.016,NetworkFix,1.1,15,2017-04-12,12:08:49.0,2017-04-12,12:08:49.0,0.0
9,7737090.461,1409566.852,48.883,Topo Continu,0.010,0.014,NetworkFix,1.1,15,2017-04-12,12:08:50.0,2017-04-12,12:08:50.0,0.0
10,7737090.496,1409567.053,48.882,Topo Continu,0.011,0.017,NetworkFix,1.1,15,2017-04-12,12:08:51.0,2017-04-12,12:08:51.0,0.0
11,7737090.552,1409567.336,48.867,Topo Continu,0.014,0.021,NetworkFix,1.1,15,2017-04-12,12:08:52.0,2017-04-12,12:08:52.0,0.0
12,7737090.624,1409567.638,48.877,Topo Continu,0.018,0.026,NetworkFix,1.1,15,2017-04-12,12:08:53.0,2017-04-12,12:08:53.0,0.0
13,7737090.820,1409568.363,48.877,Topo Continu,0.014,0.021,NetworkFix,1.1,16,2017-04-12,12:08:55.0,2017-04-12,12:08:55.0,0.0
14,7737090.907,1409568.628,48.871,Topo Continu,0.016,0.023,NetworkFix,1.1,16,2017-04-12,12:08:56.0,2017-04-12,12:08:56.0,0.0
15,7737091.041,1409569.040,48.863,Topo Continu,0.016,0.023,NetworkFix,1.1,16,2017-04-12,12:08:57.0,2017-04-12,12:08:57.0,0.0
16,7737091.144,1409569.332,48.877,Topo Continu,0.016,0.023,NetworkFix,1.2,16,2017-04-12,12:08:58.0,2017-04-12,12:08:58.0,0.0
17,7737091.220,1409569.551,48.890,Topo Continu,0.021,0.029,NetworkFix,1.1,16,2017-04-12,12:08:59.0,2017-04-12,12:08:59.0,0.0
18,7737091.274,1409569.712,48.884,Topo Continu,0.017,0.025,NetworkFix,1.1,16,2017-04-12,12:09:00.0,2017-04-12,12:09:00.0,0.0
19,7737091.317,1409569.846,48.884,Topo Continu,0.023,0.034,NetworkFix,1.1,16,2017-04-12,12:09:01.0,2017-04-12,12:09:01.0,0.0
20,7737091.351,1409569.941,48.891,Topo Continu,0.029,0.041,NetworkFix,1.1,16,2017-04-12,12:09:02.0,2017-04-12,12:09:02.0,0.0
21,7737091.390,1409570.089,48.895,Topo Continu,0.028,0.039,NetworkFix,1.1,16,2017-04-12,12:09:03.0,2017-04-12,12:09:03.0,0.0
22,7737091.419,1409570.188,48.895,Topo Continu,0.021,0.030,NetworkFix,1.1,16,2017-04-12,12:09:04.0,2017-04-12,12:09:04.0,0.0
23,7737091.437,1409570.259,48.916,Topo Continu,0.025,0.036,NetworkFix,1.1,16,2017-04-12,12:09:05.0,2017-04-12,12:09:05.0,0.0
24,7737091.409,1409570.295,48.915,Topo Continu,0.023,0.032,NetworkFix,1.1,16,2017-04-12,12:09:06.0,2017-04-12,12:09:06.0,0.0
25,7737091.403,1409570.312,48.905,Topo Continu,0.022,0.031,NetworkFix,1.1,15,2017-04-12,12:09:07.0,2017-04-12,12:09:07.0,0.0
26,7737091.381,1409570.323,48.903,Topo Continu,0.026,0.036,NetworkFix,1.1,15,2017-04-12,12:09:08.0,2017-04-12,12:09:08.0,0.0
27,7737091.371,1409570.339,48.908,Topo Continu,0.021,0.029,NetworkFix,1.1,15,2017-04-12,12:09:09.0,2017-04-12,12:09:09.0,0.0
28,7737091.352,1409570.345,48.919,Topo Continu,0.031,0.043,NetworkFix,1.1,15,2017-04-12,12:09:10.0,2017-04-12,12:09:10.0,0.0
29,7737091.345,1409570.372,48.906,Topo Continu,0.033,0.046,NetworkFix,1.1,15,2017-04-12,12:09:11.0,2017-04-12,12:09:11.0,0.0
30,7737091.337,1409570.395,48.900,Topo Continu,0.014,0.020,NetworkFix,1.1,14,2017-04-12,12:09:12.0,2017-04-12,12:09:12.0,0.0
31,7737091.326,1409570.409,48.899,Topo Continu,0.020,0.027,NetworkFix,1.1,14,2017-04-12,12:09:13.0,2017-04-12,12:09:13.0,0.0
32,7737091.321,1409570.435,48.889,Topo Continu,0.015,0.021,NetworkFix,1.1,15,2017-04-12,12:09:15.0,2017-04-12,12:09:15.0,0.0
33,7737091.315,1409570.434,48.888,Topo Continu,0.016,0.023,NetworkFix,1.1,15,2017-04-12,12:09:16.0,2017-04-12,12:09:16.0,0.0
34,7737091.309,1409570.441,48.881,Topo Continu,0.021,0.028,NetworkFix,1.1,15,2017-04-12,12:09:17.0,2017-04-12,12:09:17.0,0.0
35,7737091.295,1409570.443,48.883,Topo Continu,0.014,0.020,NetworkFix,1.1,14,2017-04-12,12:09:18.0,2017-04-12,12:09:18.0,0.0
36,7737091.277,1409570.443,48.882,Topo Continu,0.018,0.025,NetworkFix,1.1,14,2017-04-12,12:09:19.0,2017-04-12,12:09:19.0,0.0
37,7737091.264,1409570.450,48.879,Topo Continu,0.015,0.020,NetworkFix,1.1,14,2017-04-12,12:09:20.0,2017-04-12,12:09:20.0,0.0
38,7737091.250,1409570.455,48.880,Topo Continu,0.013,0.018,NetworkFix,1.1,15,2017-04-12,12:09:21.0,2017-04-12,12:09:21.0,0.0
39,7737091.236,1409570.459,48.874,Topo Continu,0.016,0.022,NetworkFix,1.1,15,2017-04-12,12:09:22.0,2017-04-12,12:09:22.0,0.0
40,7737091.215,1409570.465,48.880,Topo Continu,0.012,0.017,NetworkFix,1.1,15,2017-04-12,12:09:23.0,2017-04-12,12:09:23.0,0.0
41,7737091.198,1409570.470,48.882,Topo Continu,0.012,0.017,NetworkFix,1.1,16,2017-04-12,12:09:24.0,2017-04-12,12:09:24.0,0.0
42,7737091.181,1409570.479,48.877,Topo Continu,0.016,0.023,NetworkFix,1.1,16,2017-04-12,12:09:25.0,2017-04-12,12:09:25.0,0.0
43,7737091.161,1409570.489,48.876,Topo Continu,0.016,0.022,NetworkFix,1.1,16,2017-04-12,12:09:26.0,2017-04-12,12:09:26.0,0.0
44,7737091.137,1409570.500,48.885,Topo Continu,0.012,0.018,NetworkFix,1.1,16,2017-04-12,12:09:27.0,2017-04-12,12:09:27.0,0.0
45,7737091.114,1409570.513,48.879,Topo Continu,0.015,0.022,NetworkFix,1.1,16,2017-04-12,12:09:28.0,2017-04-12,12:09:28.0,0.0
46,7737091.098,1409570.529,48.874,Topo Continu,0.014,0.021,NetworkFix,1.1,16,2017-04-12,12:09:29.0,2017-04-12,12:09:29.0,0.0
47,7737091.091,1409570.539,48.875,Topo Continu,0.011,0.017,NetworkFix,1.1,16,2017-04-12,12:09:30.0,2017-04-12,12:09:30.0,0.0
48,7737091.073,1409570.552,48.870,Topo Continu,0.014,0.020,NetworkFix,1.1,16,2017-04-12,12:09:31.0,2017-04-12,12:09:31.0,0.0
49,7737091.056,1409570.558,48.868,Topo Continu,0.014,0.021,NetworkFix,1.1,16,2017-04-12,12:09:32.0,2017-04-12,12:09:32.0,0.0
50,7737091.043,1409570.575,48.858,Topo Continu,0.018,0.027,NetworkFix,1.1,16,2017-04-12,12:09:33.0,2017-04-12,12:09:33.0,0.0
51,7737091.021,1409570.577,48.862,Topo Continu,0.019,0.028,NetworkFix,1.1,15,2017-04-12,12:09:34.0,2017-04-12,12:09:34.0,0.0
52,7737090.969,1409570.595,48.874,Topo Continu,0.021,0.030,NetworkFix,1.1,15,2017-04-12,12:09:36.0,2017-04-12,12:09:36.0,0.0
53,7737090.937,1409570.599,48.889,Topo Continu,0.011,0.018,NetworkFix,1.1,15,2017-04-12,12:09:37.0,2017-04-12,12:09:37.0,0.0
54,7737090.914,1409570.608,48.891,Topo Continu,0.014,0.021,NetworkFix,1.1,15,2017-04-12,12:09:38.0,2017-04-12,12:09:38.0,0.0
55,7737090.892,1409570.618,48.889,Topo Continu,0.011,0.017,NetworkFix,1.1,15,2017-04-12,12:09:39.0,2017-04-12,12:09:39.0,0.0
56,7737090.864,1409570.627,48.893,Topo Continu,0.011,0.017,NetworkFix,1.1,15,2017-04-12,12:09:40.0,2017-04-12,12:09:40.0,0.0
57,7737090.842,1409570.640,48.894,Topo Continu,0.014,0.021,NetworkFix,1.1,15,2017-04-12,12:09:41.0,2017-04-12,12:09:41.0,0.0
58,7737090.822,1409570.650,48.902,Topo Continu,0.011,0.017,NetworkFix,1.1,15,2017-04-12,12:09:42.0,2017-04-12,12:09:42.0,0.0
59,7737085.544,1409567.271,48.892,Topo Continu,0.010,0.016,NetworkFix,1.2,13,2017-04-12,12:24:47.0,2017-04-12,12:24:47.0,0.0
60,7737085.457,1409567.006,48.907,Topo Continu,0.012,0.018,NetworkFix,1.2,13,2017-04-12,12:24:48.0,2017-04-12,12:24:48.0,0.0
61,7737085.362,1409566.677,48.905,Topo Continu,0.014,0.021,NetworkFix,1.2,13,2017-04-12,12:24:49.0,2017-04-12,12:24:49.0,0.0
62,7737085.249,1409566.277,48.893,Topo Continu,0.012,0.018,NetworkFix,1.2,14,2017-04-12,12:24:50.0,2017-04-12,12:24:50.0,0.0
63,7737085.134,1409565.823,48.890,Topo Continu,0.012,0.019,NetworkFix,1.2,13,2017-04-12,12:24:51.0,2017-04-12,12:24:51.0,0.0
64,7737084.997,1409565.335,48.895,Topo Continu,0.016,0.024,NetworkFix,1.2,13,2017-04-12,12:24:52.0,2017-04-12,12:24:52.0,0.0
65,7737084.847,1409564.823,48.904,Topo Continu,0.014,0.022,NetworkFix,1.2,13,2017-04-12,12:24:53.0,2017-04-12,12:24:53.0,0.0
66,7737084.674,1409564.317,48.898,Topo Continu,0.015,0.022,NetworkFix,1.2,13,2017-04-12,12:24:54.0,2017-04-12,12:24:54.0,0.0
67,7737084.495,1409563.810,48.893,Topo Continu,0.017,0.025,NetworkFix,1.3,13,2017-04-12,12:24:55.0,2017-04-12,12:24:55.0,0.0
68,7737084.350,1409563.405,48.901,Topo Continu,0.010,0.015,NetworkFix,1.3,13,2017-04-12,12:24:56.0,2017-04-12,12:24:56.0,0.0
69,7737084.106,1409562.802,48.905,Topo Continu,0.012,0.019,NetworkFix,1.3,13,2017-04-12,12:24:57.0,2017-04-12,12:24:57.0,0.0
70,7737083.953,1409562.438,48.903,Topo Continu,0.016,0.024,NetworkFix,1.3,13,2017-04-12,12:24:58.0,2017-04-12,12:24:58.0,0.0
71,7737083.794,1409562.064,48.901,Topo Continu,0.010,0.016,NetworkFix,1.3,13,2017-04-12,12:24:59.0,2017-04-12,12:24:59.0,0.0
72,7737083.652,1409561.755,48.907,Topo Continu,0.009,0.013,NetworkFix,1.3,13,2017-04-12,12:25:00.0,2017-04-12,12:25:00.0,0.0
73,7737083.508,1409561.441,48.900,Topo Continu,0.009,0.014,NetworkFix,1.3,13,2017-04-12,12:25:01.0,2017-04-12,12:25:01.0,0.0
74,7737083.426,1409561.261,48.897,Topo Continu,0.006,0.010,NetworkFix,1.3,13,2017-04-12,12:25:02.0,2017-04-12,12:25:02.0,0.0
75,7737083.321,1409561.043,48.899,Topo Continu,0.006,0.010,NetworkFix,1.3,13,2017-04-12,12:25:03.0,2017-04-12,12:25:03.0,0.0
76,7737083.197,1409560.730,48.897,Topo Continu,0.006,0.011,NetworkFix,1.3,13,2017-04-12,12:25:04.0,2017-04-12,12:25:04.0,0.0
77,7737083.144,1409560.436,48.898,Topo Continu,0.006,0.011,NetworkFix,1.3,13,2017-04-12,12:25:05.0,2017-04-12,12:25:05.0,0.0
78,7737083.148,1409560.190,48.905,Topo Continu,0.009,0.014,NetworkFix,1.3,13,2017-04-12,12:25:06.0,2017-04-12,12:25:06.0,0.0
79,7737083.192,1409560.047,48.905,Topo Continu,0.009,0.013,NetworkFix,1.3,13,2017-04-12,12:25:07.0,2017-04-12,12:25:07.0,0.0
80,7737083.255,1409559.944,48.890,Topo Continu,0.010,0.015,NetworkFix,1.3,13,2017-04-12,12:25:08.0,2017-04-12,12:25:08.0,0.0
81,7737083.341,1409559.861,48.899,Topo Continu,0.015,0.022,NetworkFix,1.3,13,2017-04-12,12:25:09.0,2017-04-12,12:25:09.0,0.0
82,7737083.505,1409559.766,48.911,Topo Continu,0.010,0.015,NetworkFix,1.3,13,2017-04-12,12:25:10.0,2017-04-12,12:25:10.0,0.0
83,7737083.726,1409559.639,48.909,Topo Continu,0.011,0.017,NetworkFix,1.3,13,2017-04-12,12:25:11.0,2017-04-12,12:25:11.0,0.0
84,7737084.317,1409559.241,48.911,Topo Continu,0.014,0.020,NetworkFix,1.3,13,2017-04-12,12:25:13.0,2017-04-12,12:25:13.0,0.0
85,7737084.661,1409558.962,48.912,Topo Continu,0.011,0.018,NetworkFix,1.3,13,2017-04-12,12:25:14.0,2017-04-12,12:25:14.0,0.0
86,7737085.074,1409558.615,48.904,Topo Continu,0.010,0.016,NetworkFix,1.3,13,2017-04-12,12:25:15.0,2017-04-12,12:25:15.0,0.0
87,7737085.425,1409558.359,48.898,Topo Continu,0.009,0.014,NetworkFix,1.3,13,2017-04-12,12:25:16.0,2017-04-12,12:25:16.0,0.0
88,7737085.817,1409558.114,48.912,Topo Continu,0.009,0.014,NetworkFix,1.3,13,2017-04-12,12:25:17.0,2017-04-12,12:25:17.0,0.0
89,7737086.247,1409557.858,48.906,Topo Continu,0.010,0.016,NetworkFix,1.3,13,2017-04-12,12:25:18.0,2017-04-12,12:25:18.0,0.0
90,7737086.728,1409557.569,48.894,Topo Continu,0.009,0.013,NetworkFix,1.3,13,2017-04-12,12:25:19.0,2017-04-12,12:25:19.0,0.0
91,7737087.341,1409557.184,48.897,Topo Continu,0.010,0.015,NetworkFix,1.3,13,2017-04-12,12:25:20.0,2017-04-12,12:25:20.0,0.0
92,7737087.771,1409556.901,48.898,Topo Continu,0.010,0.016,NetworkFix,1.3,13,2017-04-12,12:25:21.0,2017-04-12,12:25:21.0,0.0
93,7737088.343,1409556.541,48.889,Topo Continu,0.009,0.013,NetworkFix,1.3,13,2017-04-12,12:25:22.0,2017-04-12,12:25:22.0,0.0
94,7737088.824,1409556.256,48.891,Topo Continu,0.010,0.014,NetworkFix,1.3,13,2017-04-12,12:25:23.0,2017-04-12,12:25:23.0,0.0
95,7737089.439,1409555.904,48.888,Topo Continu,0.010,0.015,NetworkFix,1.3,13,2017-04-12,12:25:24.0,2017-04-12,12:25:24.0,0.0
96,7737096.995,1409558.066,48.897,Topo Continu,0.009,0.012,NetworkFix,1.1,14,2017-04-12,12:25:46.0,2017-04-12,12:25:46.0,0.0
97,7737097.335,1409558.669,48.888,Topo Continu,0.009,0.013,NetworkFix,1.1,14,2017-04-12,12:25:47.0,2017-04-12,12:25:47.0,0.0
98,7737097.656,1409559.267,48.884,Topo Continu,0.011,0.017,NetworkFix,1.1,14,2017-04-12,12:25:48.0,2017-04-12,12:25:48.0,0.0
99,7737097.925,1409559.749,48.895,Topo Continu,0.009,0.012,NetworkFix,1.1,14,2017-04-12,12:25:49.0,2017-04-12,12:25:49.0,0.0
100,7737098.337,1409560.460,48.898,Topo Continu,0.009,0.012,NetworkFix,1.1,14,2017-04-12,12:25:50.0,2017-04-12,12:25:50.0,0.0
101,7737098.676,1409561.041,48.895,Topo Continu,0.010,0.014,NetworkFix,1.1,14,2017-04-12,12:25:51.0,2017-04-12,12:25:51.0,0.0
102,7737098.943,1409561.489,48.891,Topo Continu,0.009,0.014,NetworkFix,1.1,14,2017-04-12,12:25:52.0,2017-04-12,12:25:52.0,0.0
103,7737099.227,1409561.998,48.887,Topo Continu,0.010,0.014,NetworkFix,1.1,14,2017-04-12,12:25:53.0,2017-04-12,12:25:53.0,0.0
104,7737099.477,1409562.461,48.902,Topo Continu,0.009,0.013,NetworkFix,1.1,14,2017-04-12,12:25:54.0,2017-04-12,12:25:54.0,0.0
105,7737099.639,1409562.785,48.896,Topo Continu,0.009,0.013,NetworkFix,1.1,14,2017-04-12,12:25:55.0,2017-04-12,12:25:55.0,0.0
106,7737099.753,1409563.028,48.898,Topo Continu,0.009,0.012,NetworkFix,1.1,14,2017-04-12,12:25:56.0,2017-04-12,12:25:56.0,0.0
107,7737099.841,1409563.372,48.895,Topo Continu,0.007,0.011,NetworkFix,1.1,14,2017-04-12,12:25:57.0,2017-04-12,12:25:57.0,0.0
108,7737099.826,1409563.633,48.903,Topo Continu,0.007,0.010,NetworkFix,1.1,14,2017-04-12,12:25:58.0,2017-04-12,12:25:58.0,0.0
109,7737099.715,1409563.838,48.907,Topo Continu,0.007,0.011,NetworkFix,1.1,14,2017-04-12,12:25:59.0,2017-04-12,12:25:59.0,0.0
110,7737099.604,1409563.952,48.913,Topo Continu,0.006,0.009,NetworkFix,1.1,14,2017-04-12,12:26:00.0,2017-04-12,12:26:00.0,0.0
111,7737099.467,1409564.058,48.909,Topo Continu,0.006,0.010,NetworkFix,1.1,14,2017-04-12,12:26:01.0,2017-04-12,12:26:01.0,0.0
112,7737099.310,1409564.141,48.897,Topo Continu,0.009,0.013,NetworkFix,1.1,14,2017-04-12,12:26:02.0,2017-04-12,12:26:02.0,0.0
113,7737098.887,1409564.286,48.899,Topo Continu,0.006,0.010,NetworkFix,1.1,14,2017-04-12,12:26:04.0,2017-04-12,12:26:04.0,0.0
114,7737098.604,1409564.391,48.897,Topo Continu,0.007,0.010,NetworkFix,1.1,14,2017-04-12,12:26:05.0,2017-04-12,12:26:05.0,0.0
115,7737098.319,1409564.497,48.907,Topo Continu,0.006,0.010,NetworkFix,1.1,14,2017-04-12,12:26:06.0,2017-04-12,12:26:06.0,0.0
116,7737098.078,1409564.578,48.908,Topo Continu,0.007,0.010,NetworkFix,1.1,14,2017-04-12,12:26:07.0,2017-04-12,12:26:07.0,0.0
117,7737097.779,1409564.673,48.912,Topo Continu,0.006,0.010,NetworkFix,1.1,14,2017-04-12,12:26:08.0,2017-04-12,12:26:08.0,0.0
118,7737097.560,1409564.745,48.909,Topo Continu,0.007,0.010,NetworkFix,1.1,15,2017-04-12,12:26:09.0,2017-04-12,12:26:09.0,0.0
119,7737097.401,1409564.795,48.904,Topo Continu,0.006,0.009,NetworkFix,1.1,15,2017-04-12,12:26:10.0,2017-04-12,12:26:10.0,0.0
120,7737097.227,1409564.853,48.907,Topo Continu,0.006,0.009,NetworkFix,1.1,15,2017-04-12,12:26:11.0,2017-04-12,12:26:11.0,0.0
121,7737097.004,1409564.935,48.909,Topo Continu,0.006,0.009,NetworkFix,1.1,15,2017-04-12,12:26:12.0,2017-04-12,12:26:12.0,0.0
122,7737096.724,1409565.044,48.900,Topo Continu,0.006,0.009,NetworkFix,1.1,15,2017-04-12,12:26:13.0,2017-04-12,12:26:13.0,0.0
123,7737096.419,1409565.180,48.904,Topo Continu,0.006,0.010,NetworkFix,1.1,15,2017-04-12,12:26:14.0,2017-04-12,12:26:14.0,0.0
124,7737095.982,1409565.402,48.904,Topo Continu,0.010,0.014,NetworkFix,1.1,15,2017-04-12,12:26:15.0,2017-04-12,12:26:15.0,0.0
125,7737095.582,1409565.626,48.908,Topo Continu,0.010,0.014,NetworkFix,1.1,15,2017-04-12,12:26:16.0,2017-04-12,12:26:16.0,0.0
126,7737095.285,1409565.815,48.906,Topo Continu,0.011,0.016,NetworkFix,1.1,15,2017-04-12,12:26:17.0,2017-04-12,12:26:17.0,0.0
127,7737094.891,1409566.023,48.905,Topo Continu,0.012,0.017,NetworkFix,1.1,15,2017-04-12,12:26:18.0,2017-04-12,12:26:18.0,0.0
128,7737094.363,1409566.268,48.906,Topo Continu,0.015,0.021,NetworkFix,1.1,15,2017-04-12,12:26:19.0,2017-04-12,12:26:19.0,0.0
129,7737093.867,1409566.506,48.899,Topo Continu,0.011,0.016,NetworkFix,1.1,15,2017-04-12,12:26:20.0,2017-04-12,12:26:20.0,0.0
130,7737093.440,1409566.724,48.907,Topo Continu,0.009,0.012,NetworkFix,1.1,15,2017-04-12,12:26:21.0,2017-04-12,12:26:21.0,0.0
131,7737092.408,1409567.377,48.910,Topo Continu,0.020,0.029,NetworkFix,1.1,15,2017-04-12,12:26:23.0,2017-04-12,12:26:23.0,0.0
132,7737091.903,1409567.718,48.910,Topo Continu,0.014,0.020,NetworkFix,1.1,15,2017-04-12,12:26:24.0,2017-04-12,12:26:24.0,0.0
133,7737091.497,1409567.978,48.914,Topo Continu,0.018,0.025,NetworkFix,1.1,15,2017-04-12,12:26:25.0,2017-04-12,12:26:25.0,0.0
134,7737091.070,1409568.202,48.908,Topo Continu,0.016,0.024,NetworkFix,1.1,15,2017-04-12,12:26:26.0,2017-04-12,12:26:26.0,0.0
135,7737090.619,1409568.387,48.898,Topo Continu,0.014,0.021,NetworkFix,1.1,15,2017-04-12,12:26:27.0,2017-04-12,12:26:27.0,0.0
136,7737090.127,1409568.555,48.898,Topo Continu,0.015,0.023,NetworkFix,1.1,15,2017-04-12,12:26:28.0,2017-04-12,12:26:28.0,0.0
137,7737089.596,1409568.737,48.879,Topo Continu,0.012,0.018,NetworkFix,1.1,15,2017-04-12,12:26:29.0,2017-04-12,12:26:29.0,0.0
138,7737089.044,1409568.933,48.887,Topo Continu,0.015,0.023,NetworkFix,1.1,14,2017-04-12,12:26:30.0,2017-04-12,12:26:30.0,0.0
139,7737088.513,1409569.160,48.905,Topo Continu,0.024,0.036,NetworkFix,1.1,14,2017-04-12,12:26:31.0,2017-04-12,12:26:31.0,0.0
140,7737088.004,1409569.386,48.894,Topo Continu,0.023,0.033,NetworkFix,1.1,14,2017-04-12,12:26:32.0,2017-04-12,12:26:32.0,0.0
141,7737087.502,1409569.600,48.874,Topo Continu,0.025,0.036,NetworkFix,1.1,14,2017-04-12,12:26:33.0,2017-04-12,12:26:33.0,0.0
142,7737087.003,1409569.790,48.905,Topo Continu,0.029,0.043,NetworkFix,1.1,14,2017-04-12,12:26:34.0,2017-04-12,12:26:34.0,0.0
143,7737086.505,1409569.989,48.885,Topo Continu,0.029,0.041,NetworkFix,1.1,14,2017-04-12,12:26:35.0,2017-04-12,12:26:35.0,0.0
144,7737086.026,1409570.148,48.903,Topo Continu,0.030,0.043,NetworkFix,1.1,14,2017-04-12,12:26:36.0,2017-04-12,12:26:36.0,0.0
145,7737085.544,1409570.256,48.879,Topo Continu,0.033,0.048,NetworkFix,1.1,14,2017-04-12,12:26:37.0,2017-04-12,12:26:37.0,0.0
146,7737085.079,1409570.271,48.864,Topo Continu,0.009,0.014,NetworkFix,1.1,14,2017-04-12,12:26:38.0,2017-04-12,12:26:38.0,0.0
147,7737084.631,1409570.194,48.862,Topo Continu,0.014,0.021,NetworkFix,1.1,14,2017-04-12,12:26:39.0,2017-04-12,12:26:39.0,0.0
