id,x,y,z,heading,slope,crossfall,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right
1,1350844.723975,7223723.336980,38.960200,6360976.163518,-0.017626,-0.176672,3,None,None,None,None,None,None,None,None,4,6.55403493787,2.1340000000000003,9.9202141473,4.732999999999997,None,None,None,None,5,8.77594574828,5.725299999999997,15.5379940918,11.363,None,None,None,None,6,34.154874512,8.427999999999997,42.0255947142,16.4114,None,None,None,None
2,1350848.326730,7223725.637960,38.884850,6350777.474794,0.027285,-0.087474,3,None,None,None,None,13.7567050305,1.6396500000000032,21.2293226657,4.941650000000003,4,6.45472046053,2.794649999999997,16.7713944098,4.857849999999999,12.8366665945,1.6553499999999985,16.037493299,6.23565,5,12.0096266731,4.937649999999998,12.8974186892,6.18065,13.505462522,6.8716500000000025,13.505462522,6.8716500000000025,6,30.5314224561,8.185650000000003,38.3326438072,16.48675,None,None,None,None
3,1350849.427575,7223726.388275,38.921200,6309345.124732,0.004556,-0.157314,3,None,None,None,None,13.4382563258,1.6000000000000014,20.7985568577,5.223300000000002,4,6.94593921904,1.6370000000000005,15.6255018715,4.8215,12.7172412975,1.5949999999999989,18.5765143274,6.383299999999998,5,8.5711389722,7.222000000000001,8.5711389722,7.222000000000001,14.5360097407,6.835300000000004,14.5360097407,6.835300000000004,6,29.4582830143,8.149300000000004,37.2293751056,16.450400000000002,None,None,None,None
4,1350851.429115,7223727.738855,38.932200,6372255.541749,-0.068170,-0.249738,3,None,None,None,None,13.8918740077,1.7262999999999948,22.6606599387,5.212299999999999,4,6.64207638065,1.7220000000000013,13.6284296884,4.8104999999999976,13.5443174514,1.6920000000000002,19.2586889516,6.632300000000001,5,6.51190485676,7.2109999999999985,6.51190485676,7.2109999999999985,14.3333267369,6.877299999999998,14.6279674739,6.890299999999996,6,27.563711808,8.138300000000001,35.263343137,16.4394,None,None,None,None
5,1350852.780150,7223728.489175,38.826850,6332868.860665,0.056576,-0.118669,3,None,None,None,None,14.0828459342,1.6693500000000014,23.9771895356,5.31765,4,6.25978837132,2.0396500000000017,16.2919788397,6.24765,13.0914166811,1.765349999999998,20.5731194263,6.737650000000002,5,8.31084169041,5.63035,15.491032086,6.851849999999999,15.6620798587,6.98265,15.9623083879,6.995649999999998,6,26.3107695553,8.243650000000002,33.9574423423,16.54475,None,None,None,None
6,1350854.081145,7223729.489595,38.919700,6250524.617135,-0.012472,-0.204673,3,None,None,None,None,13.9470960179,1.561799999999998,25.2717907758,5.224800000000002,4,6.17115736834,1.5594999999999999,17.0988196876,7.040800000000004,12.3837746194,1.711500000000001,21.8713886335,6.644800000000004,5,8.42216950797,4.609500000000004,14.1609433243,6.759,16.9895988485,6.889800000000001,17.2951545843,6.902799999999999,6,25.8014883119,14.746499999999997,32.7469142713,16.451900000000002,None,None,None,None
7,1350855.282065,7223730.289940,38.901700,6296497.916761,0.009989,-0.237918,3,15.9697647093,5.288800000000002,16.2569301973,6.1128,12.8933037533,1.9218000000000046,26.4952753375,5.242800000000003,4,6.0894555638,2.6158,15.7957104424,7.1798,11.4640623565,1.6067999999999998,23.1015465971,6.662800000000004,5,8.31084722946,4.933500000000002,15.8090105462,7.131799999999998,18.2480939741,6.907800000000002,18.5566719591,6.9208,6,24.8218413955,8.076500000000003,31.6475574698,16.469900000000003,None,None,None,None
8,1350856.633100,7223731.240345,38.918200,6321135.230501,0.002023,-0.163897,3,14.53902668,5.272300000000001,14.8329573901,6.096299999999999,13.2471306573,2.368299999999998,27.9005305744,5.226300000000002,4,6.04529968264,2.2790000000000035,14.353218648,7.1633,11.9912069332,1.591300000000004,24.5176979533,6.646300000000004,5,9.3719642585,5.0685,14.2797430281,7.176299999999998,12.9856430788,8.793,12.9856430788,8.793,6,24.1185556521,14.780999999999999,24.8585080026,14.921399999999998,None,None,None,None
9,1350857.683905,7223731.890620,38.920700,6291982.349071,0.006246,-0.162440,3,13.4626384826,5.2697999999999965,13.7613631849,6.0937999999999946,13.2397936385,1.6684999999999945,29.0029056884,5.223799999999997,4,6.37079117576,1.6599999999999966,13.2678049001,7.160799999999995,12.2136222516,1.5537999999999954,25.6286088734,6.643799999999999,5,8.73275195832,5.560799999999993,13.1814573289,7.173799999999993,13.9808435004,8.790499999999994,13.9808435004,8.790499999999994,6,23.2311550784,9.164499999999997,23.8565318529,14.918899999999994,None,None,None,None
10,1350859.034940,7223732.891045,38.931200,6291131.144957,-0.026119,-0.120509,3,12.1267274929,5.2423,12.4386116216,6.083300000000001,14.5181017766,1.6580000000000013,19.9315778044,5.231999999999999,4,6.56033654108,1.7180000000000035,11.9218344188,7.150300000000001,12.6457600438,1.777000000000001,27.0957006642,6.6333000000000055,5,8.16173451086,6.391000000000005,11.8116982017,7.1633,15.3137724977,8.780000000000001,15.3137724977,8.780000000000001,6,22.5113939702,14.784500000000001,22.6238891512,14.9084,None,None,None,None
11,1350860.436010,7223733.791425,38.887700,6373255.068569,-0.003273,-0.205005,3,11.6331221868,5.1188,15.6472701451,6.0105,15.610366081,2.4427999999999983,21.6237218561,5.3337999999999965,4,6.33828565184,1.8739999999999952,10.6937586905,7.172799999999995,13.0149946908,1.6424999999999983,28.7091284061,6.305499999999995,5,4.51704222112,5.8174999999999955,10.4713735212,7.206799999999994,16.7523520609,8.823499999999996,16.7523520609,8.823499999999996,6,21.4805683065,8.418499999999995,29.5743527248,14.873999999999995,None,None,None,None
12,1350861.737010,7223734.591765,38.882700,6325545.913896,-0.003563,-0.222554,3,12.2176571873,4.386499999999998,14.3131554821,6.015500000000003,14.9392719376,2.1518000000000015,22.8574155665,5.338799999999999,4,6.74699007096,2.994500000000002,13.5104426138,7.1295,12.6457516152,1.6077999999999975,30.6073494586,5.8078,5,1.20196104202,5.205500000000001,9.72302164498,6.9964999999999975,18.1191254927,8.828499999999998,18.1191254927,8.828499999999998,6,20.6001862558,14.819499999999998,21.1886329394,14.863999999999997,None,None,None,None
13,1350862.837855,7223735.392110,38.877850,6314675.288599,-0.017055,-0.203325,3,11.1140321453,4.391349999999996,13.2215791631,6.0203500000000005,13.5514284587,1.6093499999999992,23.9246530562,5.343649999999997,4,6.44870437847,2.141849999999998,12.4321677291,7.134349999999998,12.4196215928,1.5923499999999962,31.7963762494,5.812649999999998,5,1.70791004042,5.065349999999995,6.34932472607,6.292349999999999,19.3116180017,8.833349999999996,19.3116180017,8.833349999999996,6,19.8925577901,14.83585,20.1772568835,14.868849999999995,None,None,None,None
14,1350864.038770,7223736.142430,38.853700,6354098.604546,-0.008513,-0.125337,3,9.96852907813,4.4155000000000015,12.079426937,6.044500000000006,13.7425110963,1.636800000000001,25.1200369065,5.367800000000003,4,6.24415460639,1.8740000000000023,11.3085989493,7.158500000000004,12.4404517408,1.6238000000000028,24.3800088087,5.7435000000000045,5,2.70393127275,5.105500000000006,7.0629946185,6.202500000000001,None,None,None,None,6,25.2360577317,2.2110000000000056,27.4852950525,2.3730000000000047,None,None,None,None
15,1350865.089580,7223736.842725,38.842950,6292838.339824,0.002209,-0.183115,3,10.3399775186,4.631549999999997,12.0795563853,5.118249999999996,13.6929644204,1.64255,26.1855343681,5.378549999999997,4,5.99559820865,1.9227500000000006,12.3659467374,6.362249999999996,13.0844388565,2.4962499999999963,25.5108006931,5.754249999999999,5,4.85784230351,5.902249999999995,9.19192860026,6.15625,None,None,None,None,6,23.7844947401,2.147749999999995,26.3707084129,2.383749999999999,None,None,None,None
