id,lon(rad),lat(rad),elevation(m),cap(rad),slope,crossfall,hasBridge,hasSwitch,hasTermination,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right,class,nearestD_left,nearestH_left,highestD_left,highestH_left,nearestD_right,nearestH_right,highestD_right,highestH_right
1,-0.0295440027820442,0.8398135023821499,38.960200,0.9829497286843011,-0.003750,0.176672,false,false,false,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,6.55,2.13,9.92,4.73,NaN,NaN,NaN,NaN,5,8.77,5.72,15.53,11.36,NaN,NaN,NaN,NaN,6,34.15,8.42,42.02,16.41,NaN,NaN,NaN,NaN
2,-0.0295434298834499,0.8398137932320432,38.948700,0.9873173323355803,-0.010292,0.164173,false,false,false,3,NaN,NaN,NaN,NaN,13.59,1.51,16.09,2.09,4,6.48,2.47,17.87,4.79,12.84,1.54,15.12,6.06,5,13.07,4.87,19.75,5.50,NaN,NaN,NaN,NaN,6,31.57,8.12,39.39,16.42,NaN,NaN,NaN,NaN
3,-0.0295428115728067,0.8398141016680853,38.914850,0.9851734736656171,-0.018997,0.178033,false,false,false,3,NaN,NaN,NaN,NaN,12.71,1.56,21.34,5.22,4,6.45,2.19,15.01,4.82,13.08,1.60,17.94,6.64,5,7.92,7.22,7.92,7.22,13.02,6.89,13.30,6.90,6,28.88,8.15,36.63,16.45,NaN,NaN,NaN,NaN
4,-0.0295422613763746,0.8398143837246062,38.858700,0.9991133044108511,0.009051,0.131526,false,false,false,3,NaN,NaN,NaN,NaN,13.78,1.63,23.67,5.28,4,6.55,2.00,16.58,6.21,12.79,1.73,20.27,6.70,5,8.60,5.59,15.79,6.81,15.36,6.95,15.66,6.96,6,26.60,8.21,34.25,16.51,NaN,NaN,NaN,NaN
5,-0.0295416753406977,0.8398146593760804,38.886350,0.9924282713829697,0.014927,0.195409,false,false,false,3,16.19,5.30,16.47,6.12,13.07,1.76,26.28,5.25,4,6.18,2.46,16.03,7.07,13.14,1.76,22.89,6.67,5,8.32,4.96,13.17,6.79,18.03,6.92,18.33,6.93,6,24.99,8.09,31.82,16.48,NaN,NaN,NaN,NaN
6,-0.0295411595569140,0.8398149321606213,38.928200,0.9782577856026621,-0.012546,0.154704,false,false,false,3,13.76,5.26,14.06,6.08,12.96,1.66,28.68,5.21,4,6.38,1.85,13.57,7.15,11.93,1.54,25.30,6.63,5,8.80,5.58,13.49,7.16,13.69,8.78,13.69,8.78,6,23.46,9.87,24.13,14.91,NaN,NaN,NaN,NaN
7,-0.0295405749459539,0.8398152234867777,38.889200,0.9806469884320180,-0.003431,0.210038,false,false,false,3,11.21,5.28,11.53,6.12,15.21,2.44,21.22,5.33,4,6.39,2.02,11.00,7.19,12.87,1.61,28.20,6.30,5,5.08,5.98,10.88,7.20,16.27,8.82,16.27,8.82,6,21.76,14.82,21.95,14.93,NaN,NaN,NaN,NaN
8,-0.0295400364586082,0.8398155050648234,38.879200,0.9622662067414350,-0.009317,0.206517,false,false,false,3,11.55,4.38,13.66,6.01,15.08,2.13,23.48,5.34,4,6.68,2.47,12.86,7.13,12.27,1.62,31.30,5.81,5,2.16,5.06,9.11,6.99,18.81,8.83,18.81,8.83,6,20.04,9.21,20.58,14.86,NaN,NaN,NaN,NaN
9,-0.0295394649828524,0.8398158115885845,38.850100,0.9507083186026936,0.023946,0.223518,false,false,false,3,10.48,4.62,12.22,5.11,13.54,1.63,26.03,5.37,4,6.14,1.91,12.51,6.35,12.93,2.48,25.36,5.74,5,5.00,5.89,9.34,6.14,NaN,NaN,NaN,NaN,6,23.93,2.14,26.52,2.37,NaN,NaN,NaN,NaN
10,-0.0295389389150549,0.8398161005261011,38.919600,0.9595392444518301,-0.020825,0.168036,false,false,false,3,9.11,2.53,16.79,4.94,15.76,1.56,28.49,5.30,4,4.99,4.34,10.24,6.28,12.67,1.58,18.32,5.62,5,3.47,5.67,4.05,5.91,NaN,NaN,NaN,NaN,6,20.63,2.94,21.15,4.02,NaN,NaN,NaN,NaN
11,-0.0295383777201481,0.8398163908968357,38.856600,0.9648961582122274,0.009317,0.211122,false,false,false,3,12.89,2.04,14.27,5.00,13.15,1.61,31.17,5.36,4,7.00,1.63,15.88,6.52,12.99,1.80,18.49,6.18,5,13.00,5.89,13.89,7.25,NaN,NaN,NaN,NaN,6,17.21,2.07,17.37,6.42,NaN,NaN,NaN,NaN
12,-0.0295378062433375,0.8398166974209053,38.885700,0.9469353390543408,-0.003813,0.137215,false,false,false,3,11.20,2.48,15.15,3.06,13.13,1.59,23.37,5.12,4,8.77,1.58,12.61,6.54,13.99,1.84,19.48,6.43,5,3.30,6.17,14.23,7.91,NaN,NaN,NaN,NaN,6,14.51,2.04,14.71,6.39,NaN,NaN,NaN,NaN
13,-0.0295372581834706,0.8398170029877025,38.874100,0.9507078362933623,-0.001843,0.144753,false,false,false,3,NaN,NaN,NaN,NaN,13.18,1.59,25.77,5.13,4,6.91,1.62,10.24,6.50,12.79,1.61,19.85,6.48,5,9.31,5.41,11.79,7.92,NaN,NaN,NaN,NaN,6,12.12,2.05,12.36,6.40,NaN,NaN,NaN,NaN
14,-0.0295367086980278,0.8398172928809086,38.868600,0.9526604023417328,-0.013122,0.144284,false,false,false,3,NaN,NaN,NaN,NaN,13.24,1.69,20.18,5.82,4,6.71,1.71,10.09,5.29,13.59,1.73,22.21,6.48,5,9.47,5.05,10.29,5.44,NaN,NaN,NaN,NaN,6,12.11,1.60,30.30,2.36,NaN,NaN,NaN,NaN
15,-0.0295361716335035,0.8398175901321355,38.829600,0.9341588535972121,0.010860,0.211774,false,false,false,3,NaN,NaN,NaN,NaN,13.04,1.77,23.18,8.74,4,NaN,NaN,NaN,NaN,13.20,1.70,24.05,11.46,5,NaN,NaN,NaN,NaN,19.31,12.00,21.53,12.56,6,12.20,1.64,27.72,2.40,NaN,NaN,NaN,NaN
16,-0.0295356352808469,0.8398178952223129,38.862200,0.9439850184934920,-0.002980,0.130062,false,false,false,3,NaN,NaN,NaN,NaN,14.15,1.64,27.31,10.37,4,NaN,NaN,NaN,NaN,14.42,1.66,26.38,12.49,5,NaN,NaN,NaN,NaN,18.68,8.26,21.98,13.96,6,12.61,1.61,25.22,2.37,NaN,NaN,NaN,NaN
17,-0.0295350747981011,0.8398181934287678,38.853100,0.9546604401793448,-0.015887,0.128345,false,false,false,3,NaN,NaN,NaN,NaN,11.70,1.63,30.87,11.14,4,NaN,NaN,NaN,NaN,11.71,1.63,24.04,14.56,5,NaN,NaN,NaN,NaN,20.80,8.05,24.25,14.55,6,12.61,1.61,22.74,2.38,NaN,NaN,NaN,NaN
18,-0.0295345597236078,0.8398184740498673,38.808100,0.9291449523792583,0.012893,0.191059,false,false,false,3,NaN,NaN,NaN,NaN,12.22,1.69,31.01,11.23,4,NaN,NaN,NaN,NaN,11.72,1.90,26.73,14.78,5,NaN,NaN,NaN,NaN,22.23,9.59,27.86,14.66,6,12.61,1.66,28.08,2.42,NaN,NaN,NaN,NaN
19,-0.0295340130892725,0.8398187952914697,38.848100,0.9192626800066712,-0.002498,0.133046,false,false,false,3,NaN,NaN,NaN,NaN,11.76,1.63,28.61,11.53,4,NaN,NaN,NaN,NaN,11.74,1.74,29.07,14.74,5,NaN,NaN,NaN,NaN,20.60,10.56,30.18,14.62,6,13.07,1.62,25.49,2.38,NaN,NaN,NaN,NaN
20,-0.0295334767363376,0.8398191003810187,38.840600,0.9308708820008362,-0.018484,0.132342,false,false,false,3,NaN,NaN,NaN,NaN,11.99,1.70,30.83,11.53,4,NaN,NaN,NaN,NaN,10.45,2.25,31.49,14.74,5,NaN,NaN,NaN,NaN,9.95,5.59,32.58,14.62,6,13.27,1.62,23.07,2.39,NaN,NaN,NaN,NaN
21,-0.0295329623740555,0.8398193888391864,38.787700,0.9290767545977124,-0.006652,0.188446,false,false,false,3,NaN,NaN,NaN,NaN,12.28,1.76,33.07,11.59,4,NaN,NaN,NaN,NaN,10.96,1.95,33.90,14.80,5,NaN,NaN,NaN,NaN,12.37,5.64,34.96,14.68,6,13.43,1.71,27.81,2.44,NaN,NaN,NaN,NaN
22,-0.0295323703288406,0.8398197276671148,38.765600,0.9192636734058806,-0.009669,0.194069,false,false,false,3,NaN,NaN,NaN,NaN,11.30,1.90,35.77,11.61,4,NaN,NaN,NaN,NaN,11.00,1.70,36.76,14.82,5,NaN,NaN,NaN,NaN,16.47,5.88,37.80,14.70,6,13.11,1.70,26.77,2.48,NaN,NaN,NaN,NaN
23,-0.0295318793822354,0.8398200151695656,38.738700,0.8805172363583496,-0.017079,0.067453,false,false,false,3,NaN,NaN,NaN,NaN,11.78,1.94,38.08,11.64,4,15.26,1.75,16.00,1.76,11.51,1.79,38.10,14.24,5,NaN,NaN,NaN,NaN,18.99,6.07,38.06,14.12,6,12.92,1.72,24.44,2.51,NaN,NaN,NaN,NaN
24,-0.0295313473083773,0.8398203672841651,38.684200,0.8910540654168196,0.036846,0.122355,false,false,false,3,16.13,1.78,16.56,1.80,11.40,1.87,40.71,11.69,4,12.83,1.81,13.51,1.81,11.30,1.85,41.13,13.61,5,NaN,NaN,NaN,NaN,22.52,6.79,22.52,6.79,6,12.81,1.78,22.03,2.57,NaN,NaN,NaN,NaN
25,-0.0295308329446190,0.8398206557410000,38.789650,0.9240638620333983,-0.002309,0.114471,false,false,false,3,13.47,1.67,13.75,1.69,11.45,1.77,24.94,6.74,4,13.93,1.69,13.94,1.70,10.91,1.68,24.98,6.66,5,NaN,NaN,NaN,NaN,24.93,6.68,24.93,6.68,6,12.51,1.68,19.89,2.46,NaN,NaN,NaN,NaN
26,-0.0295302973027051,0.8398209686671751,38.782650,0.9142594381455097,-0.009581,0.135754,false,false,false,3,10.22,1.69,11.33,1.70,13.82,1.84,22.73,6.45,4,10.11,1.69,11.54,1.70,10.86,4.29,23.56,6.41,5,NaN,NaN,NaN,NaN,10.99,5.77,11.15,6.23,6,12.51,1.68,20.39,2.46,NaN,NaN,NaN,NaN
27,-0.0295297616603480,0.8398212815924231,38.753600,0.9013235509827100,-0.013218,0.108910,false,false,false,3,NaN,NaN,NaN,NaN,16.67,2.10,25.28,6.48,4,NaN,NaN,NaN,NaN,11.64,3.69,25.66,6.28,5,NaN,NaN,NaN,NaN,11.58,5.47,12.53,6.80,6,12.28,1.71,26.24,2.49,NaN,NaN,NaN,NaN
28,-0.0295292274440832,0.8398216101932746,38.712700,0.8910539422034363,0.009802,0.195108,false,false,false,3,NaN,NaN,NaN,NaN,13.49,1.99,23.29,5.35,4,2.91,1.78,2.91,1.78,9.51,2.84,15.55,6.47,5,NaN,NaN,NaN,NaN,13.91,5.51,14.81,6.84,6,11.90,1.76,23.66,2.53,NaN,NaN,NaN,NaN
29,-0.0295287152186564,0.8398219221635760,38.741650,0.8846553787417346,-0.007038,0.108977,false,false,false,3,NaN,NaN,NaN,NaN,13.74,2.05,27.71,3.74,4,NaN,NaN,NaN,NaN,10.52,2.05,17.82,6.45,5,NaN,NaN,NaN,NaN,16.38,5.48,17.23,6.81,6,11.81,1.73,21.31,2.50,NaN,NaN,NaN,NaN
30,-0.0295281817136483,0.8398222586016774,38.719650,0.8975205585713469,-0.025225,0.129401,false,false,false,3,NaN,NaN,NaN,NaN,12.38,1.75,18.50,4.73,4,NaN,NaN,NaN,NaN,11.82,2.64,20.40,6.47,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,11.68,1.74,38.94,5.12,NaN,NaN,NaN,NaN
31,-0.0295276680622218,0.8398225548959133,38.646700,0.8898361542781077,-0.003422,0.187979,false,false,false,3,NaN,NaN,NaN,NaN,14.02,2.12,20.09,5.26,4,NaN,NaN,NaN,NaN,14.01,2.39,22.37,6.46,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,11.40,1.83,36.46,5.19,NaN,NaN,NaN,NaN
32,-0.0295271242746436,0.8398229074871708,38.635650,0.8605704334511315,0.010314,0.204396,false,false,false,3,NaN,NaN,NaN,NaN,16.51,1.89,22.46,5.27,4,NaN,NaN,NaN,NaN,15.32,4.21,24.51,6.37,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,11.35,1.84,33.89,5.20,NaN,NaN,NaN,NaN
33,-0.0295266361785744,0.8398232263389963,38.665650,0.8816544781462723,-0.011043,0.124875,false,false,false,3,NaN,NaN,NaN,NaN,15.71,1.86,24.76,5.24,4,NaN,NaN,NaN,NaN,15.41,5.40,20.43,7.42,5,NaN,NaN,NaN,NaN,15.30,6.68,19.05,8.27,6,11.25,1.80,31.68,5.17,NaN,NaN,NaN,NaN
34,-0.0295261122430169,0.8398235387855300,38.632600,0.8824040365970923,0.005281,0.119667,false,false,false,3,NaN,NaN,NaN,NaN,17.91,1.89,27.09,4.75,4,NaN,NaN,NaN,NaN,15.57,5.21,23.20,7.67,5,NaN,NaN,NaN,NaN,14.76,7.35,19.50,9.54,6,10.90,1.83,39.09,15.09,NaN,NaN,NaN,NaN
35,-0.0295255684554061,0.8398238913763145,38.649650,0.8677336177162531,-0.015664,0.124626,false,false,false,3,NaN,NaN,NaN,NaN,20.44,1.87,35.38,4.28,4,NaN,NaN,NaN,NaN,13.89,3.26,25.08,7.80,5,NaN,NaN,NaN,NaN,11.98,6.68,21.54,10.76,6,11.05,1.82,36.42,15.07,NaN,NaN,NaN,NaN
36,-0.0295250906412793,0.8398241940742842,38.605700,0.8667833234942814,-0.005152,0.197596,false,false,false,3,NaN,NaN,NaN,NaN,18.77,1.93,37.62,4.32,4,NaN,NaN,NaN,NaN,13.84,4.18,23.11,7.86,5,NaN,NaN,NaN,NaN,13.82,6.86,18.34,11.37,6,10.79,1.86,34.15,15.12,NaN,NaN,NaN,NaN
37,-0.0295245358554340,0.8398245549800416,38.588700,0.8544233055689955,-0.009770,0.213067,false,false,false,3,NaN,NaN,NaN,NaN,21.22,1.95,40.32,4.34,4,NaN,NaN,NaN,NaN,15.73,4.40,22.86,7.91,5,NaN,NaN,NaN,NaN,14.13,6.14,20.71,11.39,6,10.79,1.88,36.07,15.92,NaN,NaN,NaN,NaN
